CapsuleID,Name,Intensity,Type,Origin,Machine_Type,Price,Limited_Edition,Sleeve_Quantity,Decaf
1,"Roasted Hazelnut",NULL,Mug,NULL,Vertuo,12.50,No,10,No
2,"Whiskey Essence",NULL,"Double Espresso",NULL,Vertuo,13.00,Yes,10,No
3,"Sweet Vanilla",NULL,Mug,NULL,Vertuo,12.50,No,10,No
4,"Golden Caramel",NULL,Mug,NULL,Vertuo,12.50,No,10,No
5,"Rich Chocolate",NULL,Mug,NULL,Vertuo,12.50,No,10,No
6,"Bianco Piccolo",NULL,"Single Espresso",NULL,Vertuo,9..80,No,10,No
7,"Bianco Doppio",NULL,"Double Espresso",NULL,Vertuo,11.50,No,10,No
8,"Bianco Forte",NULL,Mug,NULL,Vertuo,12.50,No,10,No
9,"Ice Forte",NULL,Mug,NULL,Vertuo,12.50,No,10,No
10,"Ice Leggero",NULL,"Double Espresso",NULL,Vertuo,11.50,No,10,No
11,"Kahawa Ya Congo",6,Mug,Congo,Vertuo,15.00,No,10,No
12,"El Salvador",5,Mug,"El Salvador",Vertuo,13.50,No,10,No
13,"Peru Organic",6,"Single Espresso",Peru,Vertuo,11.00,No,10,No
14,"Costa Rica",7,"Gran Lungo","Costa Rica",Vertuo,12.00,No,10,No
15,Mexico,7,Mug,Mexico,Vertuo,13.50,No,10,No
16,Ethiopia,4,"Gran Lungo",Ethiopia,Vertuo,12.00,No,10,No
17,Colombia,5,Mug,Columbia,Vertuo,13.50,No,10,No
18,"Alto Ambrato",4,Alto,NULL,Vertuo,10.50,No,7,No
19,"Alto Onice",7,Alto,Colombia,Vertuo,10.50,No,7,No
20,"Pour-Over Style Mild",NULL,Carafe,"Latin America",Vertuo,11.55,No,7,No
21,"Pour-Over Style",NULL,Carafe,NULL,Vertuo,11.55,No,7,No
22,Intenso,9,Mug,Nicaragua,Vertuo,12.50,No,10,No
23,Stormio,8,Mug,"Nicaraguan and Guatemalan",Vertuo,12.50,No,10,No
24,Odacio,7,Mug,NULL,Vertuo,12.50,No,10,No
25,Melozio,6,Mug,Brazil,Vertuo,12.50,No,10,No
26,Solelio,2,Mug,"Kenya and Colombia",Vertuo,12.50,No,10,No
27,"Il Caffe",11,"Single Espresso",NULL,Vertuo,9.80,No,10,No
28,Diavolitto,11,"Single Espresso",NULL,Vertuo,9.80,No,10,No
29,Altissio,9,"Single Espresso","Latin America",Vertuo,9.80,No,10,No
30,Orafio,6,"Single Espresso",NULL,Vertuo,9.80,No,10,No
31,Toccanto,5,"Single Espresso","Latin America",Vertuo,9.80,No,10,No
32,Voltesso,4,"Single Espresso","South America",Vertuo,9.80,No,10,No
33,"Altissio Decaffeinato",9,"Single Espresso","Latin America",Vertuo,10.50,No,10,Yes
34,"Melozio Decaffeinato",6,Mug,Brazil,Vertuo,13.00,No,10,Yes
35,"Half Caffeinato",NULL,Mug,NULL,Vertuo,12.50,No,10,Yes
36,Dolce,5,"Double Espresso",Uganda,Vertuo,11.50,No,10,No
37,Scuro,11,"Double Espresso","Central America",Vertuo,11.50,No,10,No
38,Chiaro,8,"Double Espresso","South and Central America",Vertuo,11.50,No,10,No
39,Inizio,4,"Gran Lungo","East Africa",Vertuo,11.50,No,10,No
40,Fortado,8,"Gran Lungo",Colombia,Vertuo,11.50,No,10,No
41,"Fortado Decaffeinato",8,"Gran Lungo","Colombia and India",Vertuo,12.00,No,10,Yes
42,Arondio,6,"Gran Lungo",NULL,Vertuo,11.50,No,10,No
43,"Vivida Boost",NULL,Mug,NULL,Vertuo,14.00,No,10,No
44,"Melozio Boost",6,Mug,"Latin America",Vertuo,14.00,No,10,No
45,"Stormio Boost",8,Mug,"Central America",Vertuo,14.00,No,10,No
46,"Volluto Decaffeinato",4,"Single Espresso","Brazil and Colombia",Original,8.00,No,10,Yes
