CapsuleID,Bitterness,Acidity,"Roast Level",Body,Notes
1,1,1,2,2,flavored
2,2,2,2,2,"flavored, nutty, balanced"
3,1,1,2,2,flavored
4,1,1,2,2,flavored
5,1,1,2,2,flavored
6,2,1,3,3,"nutty, balanced"
7,1,NULL,1,3,"fruity, cereal"
8,4,NULL,5,1,"roasted, chocolatey"
9,NULL,NULL,5,NULL,"cereal, woody, peppery"
10,NULL,NULL,3,NULL,"biscuity, cereal"
11,3,3,4,4,fruity
12,1,4,2,2,"fruity, sweet"
13,3,3,3,3,fruity
14,3,1,4,3,"nutty, balanced"
15,3,1,4,3,"woody, earthy"
16,1,3,2,1,"fruity, flowery"
17,1,5,1,1,"fruity, winey"
18,2,1,2,3,"balanced, fruity"
19,3,1,3,3,"roasted, woody, earthy"
20,2,1,2,1,"nutty, balanced"
21,3,1,3,NULL,"woody, earthy,  smokey"
22,NULL,NULL,NULL,5,"roasted, chocolatey"
23,NULL,NULL,NULL,4,"intense, woody, earthy"
24,4,2,4,4,"intense, cereal, fruity"
25,NULL,NULL,NULL,3,"mild, nutty, balanced"
26,NULL,NULL,NULL,1,"mild, cereal, fruity"
27,4,1,5,NULL,"roasted, chocolatey"
28,1,4,4,4,"intense, roasted, chocolatey"
29,1,3,3,3,"intense, roasted, chocolatey"
30,3,1,3,2,"woody, earthy"
31,2,3,2,2,"fruity, winey"
32,2,2,2,2,"mild, nutty balanced"
33,3,1,3,3,"roasted, chocolatey"
34,2,1,3,3,"cereal, nutty, balanced"
35,5,1,5,2,"nutty, balanced"
36,2,2,3,2,"cereal, nutty, balanced"
37,3,1,3,3,"roasted, chocolatey"
38,3,1,3,2,"woody, earthy"
39,2,3,2,3,"flowery, herbal"
40,4,1,4,4,"woody, earthy"
41,4,1,4,4,"woody, earthy"
42,3,4,3,3,"nutty, balanced"
43,2,1,3,3,"cereal, biscuity"
44,2,1,3,3,"nutty, balanced"
45,4,1,4,4,"woody, earthy"
46,2,3,2,NULL,"nutty, balanced"
47,4,2,4,3,"roasted, chocolatey"
48,4,3,4,3,"roasted, chocolatey"
49,2,4,2,3,"fruity, flowery"
50,2,2,2,3,"nutty, balanced"
51,3,4,3,3,"fruity, winey"
52,3,2,4,3,"intense, cereal, woody, earthy"
53,5,1,5,3,"woody, earthy"
54,3,4,3,3,fruity
55,4,2,3,3,"cereal, cocoa"
56,3,3,3,3,"balanced, fruity"
57,2,4,2,3,"flowery, herbal"
58,3,3,4,4,"cereal, nutty"
59,2,3,2,NULL,"cereal, fruity"
60,2,3,2,NULL,"cereal, fruity, nutty, balanced"
61,3,3,2,NULL,"woody, earthy"
62,1,2,1,3,"flowery, herbal"
63,1,2,2,3,"nutty, balanced"
64,2,1,3,3,"nutty, balanced"
65,2,1,3,3,"flowery, herbal"
66,3,2,4,3,"roasted, chocolatey"
67,4,1,5,3,"roasted, woody, earthy"
68,4,1,5,4,"nutty, balanced"
69,3,2,3,3,"biscuity, cereal, fruity"
70,3,4,3,4,"roasted, nutty, balanced, fruity"
71,4,1,4,4,"nutty, balanced"
72,3,3,3,3,"nutty, balanced"
73,4,4,3,3,"woody, earthy, cereal"
74,4,2,4,4,"roasted, chocolatey"
75,4,3,4,3,"roasted, chocolatey"
76,5,1,5,3,"woody, earthy, roasted, chocolatey"
77,3,1,4,3,"nutty, balanced"
78,5,1,5,3,"roasted, chocolatey"
79,NULL,NULL,1,NULL,"biscuity, nutty, balanced"
80,NULL,NULL,5,NULL,"roasted, chocolatey"
81,NULL,NULL,5,NULL,"roasted, chocolatey"
82,NULL,NULL,3,NULL,fruity
83,NULL,NULL,5,NULL,"roasted, chocolatey"
84,2,3,2,2,"flavored, biscuity"
85,2,3,2,3,"flavored, cocoa"
86,2,3,2,2,flavored
87,2,3,2,2,flavored
88,1,1,2,1,"fruity, cereal"
89,NULL,NULL,3,NULL,"coconut, fruity"
90,2,1,5,1,"roasted, smokey"
91,2,3,2,3,"nutty, balanced"
92,2,3,1,2,"flowery, herbal"
93,NULL,NULL,3,NULL,"watermelon, fruity"
94,NULL,NULL,3,NULL,"coconut, fruity"
